frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
0,2,655,411,769,654,0.554,0,712.000,654.000,2.476775,4.705053
0,3,1561,325,1664,550,0.525,0,1612.500,550.000,-3.272048,0.701993
0,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
1,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
1,2,669,393,748,551,0.470,0,708.500,551.000,6.561589,3.034739
1,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.289064,0.698013
1,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
2,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
2,2,665,389,746,556,0.473,0,705.500,556.000,6.364540,3.150556
2,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.289064,0.698013
2,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
3,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
3,2,650,392,747,552,0.448,0,698.500,552.000,6.686373,3.097019
3,3,1565,325,1665,550,0.444,0,1615.000,550.000,-3.289064,0.698013
3,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
4,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
4,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
4,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.289064,0.698013
4,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
5,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
5,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
5,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.289064,0.698013
5,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
6,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
6,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
6,3,1565,326,1664,550,0.407,0,1614.500,550.000,-3.285663,0.698809
6,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
7,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
7,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
7,3,1565,326,1664,550,0.405,0,1614.500,550.000,-3.285663,0.698809
7,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
8,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
8,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
8,3,1565,326,1664,550,0.405,0,1614.500,550.000,-3.285663,0.698809
8,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
9,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
9,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
9,3,1565,326,1664,550,0.408,0,1614.500,550.000,-3.285663,0.698809
9,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
10,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
10,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
10,3,1565,326,1664,550,0.408,0,1614.500,550.000,-3.285663,0.698809
10,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
11,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
11,2,649,395,746,552,0.405,0,697.500,552.000,6.704002,3.101187
11,3,1565,326,1664,550,0.403,0,1614.500,550.000,-3.285663,0.698809
11,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
12,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
12,2,635,397,719,555,0.480,0,677.000,555.000,6.913860,3.250142
12,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.289064,0.698013
12,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
13,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
13,2,630,396,716,555,0.507,0,673.000,555.000,6.985569,3.267362
13,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.289064,0.698013
13,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
14,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
14,2,628,399,717,554,0.484,0,672.500,554.000,7.046924,3.248867
14,3,1565,326,1665,550,0.420,0,1615.000,550.000,-3.289064,0.698013
14,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
15,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
15,2,625,397,713,557,0.458,0,669.000,557.000,6.953216,3.325652
15,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.289064,0.698013
15,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
16,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
16,2,625,397,713,557,0.458,0,669.000,557.000,6.953216,3.325652
16,3,1565,326,1665,550,0.423,0,1615.000,550.000,-3.289064,0.698013
16,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
17,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
17,2,617,398,702,558,0.412,0,659.500,558.000,7.071789,3.387517
17,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.289064,0.698013
17,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
18,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
18,2,617,398,701,558,0.427,0,659.000,558.000,7.080816,3.389719
18,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.289064,0.698013
18,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
19,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
19,2,616,398,698,558,0.422,0,657.000,558.000,7.116987,3.398539
19,3,1565,325,1665,550,0.428,0,1615.000,550.000,-3.289064,0.698013
19,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
20,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
20,2,616,397,696,558,0.424,0,656.000,558.000,7.135108,3.402958
20,3,1565,326,1665,550,0.427,0,1615.000,550.000,-3.289064,0.698013
20,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
21,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
21,2,615,395,688,557,0.438,0,651.500,557.000,7.270258,3.402573
21,3,1565,326,1665,550,0.409,0,1615.000,550.000,-3.289064,0.698013
21,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
22,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
22,2,614,397,687,560,0.410,0,650.500,560.000,7.129344,3.467727
22,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.289064,0.698013
22,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
23,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
23,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
23,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.289064,0.698013
23,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
24,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
24,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
24,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
24,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
25,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
25,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
25,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
25,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
26,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
26,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
26,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
26,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
27,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
27,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
27,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
27,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
28,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
28,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
28,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
28,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
29,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
29,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
29,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
29,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
30,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
30,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
30,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
30,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
31,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
31,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
31,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
31,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
32,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
32,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
32,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
32,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
33,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
33,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
33,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
33,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
34,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
34,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
34,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
34,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
35,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
35,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
35,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
35,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
36,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
36,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
36,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
36,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
37,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
37,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
37,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
37,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
38,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
38,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
38,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
38,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
39,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
39,2,613,397,686,559,0.441,0,649.500,559.000,7.200331,3.452065
39,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.289064,0.698013
39,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.751277,-2.809915
40,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.940463,0.851260
